2025-06-13T08:12:35.975372962-06:00 INFO kanata-tray config folder: /home/isv/repos/keyboards/kanata/kanata-tray
2025-06-13T08:12:35.976136036-06:00 INFO loading status icon: /home/isv/repos/keyboards/kanata/kanata-tray/status_icons/default.ico
2025-06-13T08:12:35.976183652-06:00 INFO loading status icon: /home/isv/repos/keyboards/kanata/kanata-tray/status_icons/crash.ico
2025-06-13T08:12:35.976261033-06:00 INFO loading status icon: /home/isv/repos/keyboards/kanata/kanata-tray/status_icons/pause.ico
2025-06-13T08:12:35.9763616-06:00 INFO loading status icon: /home/isv/repos/keyboards/kanata/kanata-tray/status_icons/live-reload.ico
2025-06-13T08:12:36.025569997-06:00 INFO Running preset 'Main Preset'
2025-06-13T08:12:36.025809984-06:00 INFO Running command: ./kanata -c=../kanata.kbd --port 5829
2025-06-13T08:12:36.026189339-06:00 INFO Started kanata (pid=860101)
2025-06-13T08:12:38.529738276-06:00 INFO Connected to kanata via TCP (127.0.0.1:46786)
2025-06-13T08:12:38.530413453-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:12:38.531026743-06:00 WARN Layer 'numbers' is mapped to an icon, but doesn't exist in the loaded kanata config
2025-06-13T08:12:38.531067724-06:00 WARN Layer 'mayus' is mapped to an icon, but doesn't exist in the loaded kanata config
2025-06-13T08:12:38.531089521-06:00 WARN Layer 'qwerty' is mapped to an icon, but doesn't exist in the loaded kanata config
2025-06-13T08:12:38.531110717-06:00 WARN Layer 'mouse-fast' is mapped to an icon, but doesn't exist in the loaded kanata config
2025-06-13T08:12:38.531132885-06:00 WARN Layer 'mouse' is mapped to an icon, but doesn't exist in the loaded kanata config
2025-06-13T08:13:16.870226151-06:00 INFO Setting icon: preset:*, layer:arrows
2025-06-13T08:13:17.670505958-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:13:19.216097194-06:00 INFO Setting icon: preset:*, layer:arrows
2025-06-13T08:13:19.421355192-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:13:19.903973499-06:00 INFO Setting icon: preset:*, layer:arrows
2025-06-13T08:13:20.279758169-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:13:20.696639495-06:00 INFO Setting icon: preset:*, layer:mouse
2025-06-13T08:13:20.697400363-06:00 INFO Setting icon: preset:*, layer:mouse-fast
2025-06-13T08:13:21.264647303-06:00 INFO Setting icon: preset:*, layer:mouse
2025-06-13T08:13:22.886537286-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:13:24.092276408-06:00 INFO Setting icon: preset:*, layer:mouse
2025-06-13T08:13:24.465776915-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:13:33.131903692-06:00 INFO Setting icon: preset:*, layer:symbols
2025-06-13T08:13:33.482239114-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:13:38.533623431-06:00 INFO Setting icon: preset:*, layer:arrows
2025-06-13T08:13:39.414014924-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:14:01.752305459-06:00 INFO Setting icon: preset:*, layer:arrows
2025-06-13T08:14:01.876849762-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:14:43.423485858-06:00 INFO Setting icon: preset:*, layer:symbols
2025-06-13T08:14:43.686032017-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:14:47.038719014-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:14:47.378587259-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:15:02.486982141-06:00 INFO Setting icon: preset:*, layer:arrows
2025-06-13T08:15:05.48473939-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:15:20.077966722-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:15:20.20782539-06:00 INFO Setting icon: preset:*, layer:base
